,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
9558,2023-02-28 02:53:16+00:00,1630400715549188096,https://twitter.com/SahilKh58877544/status/1630400715549188096,SahilKh58877544,Twitter for Android,,@INCIndia Ek he name adani adani adani bas or kuch nhi,0,0
9559,2023-02-28 02:53:08+00:00,1630400679906017280,https://twitter.com/abhavam/status/1630400679906017280,abhavam,Twitter Web App,Singapore,Adani Group is continuing its charm offensive at its roadshow to ease concerns about its financial health and corporate governance after Hindenburg's short-selling attack https://t.co/gMaLZlJYiH via @markets,2,0
9560,2023-02-28 02:53:06+00:00,1630400671873908736,https://twitter.com/Ajoysenofficial/status/1630400671873908736,Ajoysenofficial,Twitter for Android,,@AdaniOnline Ap pehele hindenburg ka reply do. Phir science ke bare me socho ji,3,1
9561,2023-02-28 02:53:02+00:00,1630400657663590401,https://twitter.com/samarendratalks/status/1630400657663590401,samarendratalks,Twitter for iPhone,"Balangir, India",Phroptetic ! So it’s not just Hindenburg  https://t.co/bQd12C4BCH,2,2
9562,2023-02-28 02:53:00+00:00,1630400649312747521,https://twitter.com/business_today/status/1630400649312747521,business_today,Twitter Web App,India,"Adani Group overleveraged, carries 3x as much debt as it should, says Aswath Damodaran
@amit_mudgill 
https://t.co/UaH7RjGF7V",1,2
9563,2023-02-28 02:52:52+00:00,1630400616416653312,https://twitter.com/vinod_angari/status/1630400616416653312,vinod_angari,Twitter for Android,,@SushantBSinha Adani mudde par aap black board par ni smjate।।।।inko Dettol ki jyada jrurt hai,0,0
9564,2023-02-28 02:52:21+00:00,1630400484556288002,https://twitter.com/MahuaMoitra/status/1630400484556288002,MahuaMoitra,Twitter Web App,,"Helpful cheatsheet on Adani group maze by @ReddIntell. Will be useful for Wachtell and Kekst to keep their stories right about which Adani (or Shah) owns which entity and who is raising money for whom! 

 @SEBI_India @CBIC_India @dir_ed https://t.co/S5tkr7s2Ez",7293,2681
9565,2023-02-28 02:52:05+00:00,1630400417367744512,https://twitter.com/SubhashMarothia/status/1630400417367744512,SubhashMarothia,Twitter for Android,"रतनगढ़, राजस्थान भारत ","#LIC का नया Motto और Logo ...!!

#Adani  #Modani https://t.co/173CY5SaWd",1,1
9566,2023-02-28 02:51:56+00:00,1630400377718992897,https://twitter.com/iamit27/status/1630400377718992897,iamit27,Twitter for Android,"Mumbai, Maharashtra",@rajivtango False narrative. That BoB branch was closing down. Decided much before the Adani Hindenburg saga.,0,0
9567,2023-02-28 02:51:44+00:00,1630400328603664387,https://twitter.com/BharatK99306445/status/1630400328603664387,BharatK99306445,Twitter for Android,"Thane, India",@vamseetvk @PTI_News Adani's kalsutri thread is with Janata.,0,0
